se_id,strain_id,effect_id
302,302,10
303,303,10
304,304,10
305,305,10
306,306,10
307,307,8
308,308,5
309,309,8
310,310,5
311,311,8
312,312,10
313,313,11
314,314,10
315,315,10
316,316,11
317,317,14
318,318,8
319,319,14
320,320,10
321,321,8
322,322,9
323,323,10
324,324,8
325,325,10
326,326,10
327,327,14
328,328,11
329,329,1
330,330,10
331,331,10
332,332,4
333,333,8
334,334,10
335,335,8
336,336,14
337,337,14
338,338,10
339,339,8
340,340,10
341,341,10
342,342,10
343,343,10
344,344,10
345,345,8
346,346,10
347,347,10
348,348,8
349,349,5
350,350,5
351,351,8
352,352,9
353,353,12
354,354,8
355,355,8
356,356,2
357,357,5
358,358,8
359,359,12
360,360,14
361,361,9
362,362,8
363,363,8
364,364,8
365,365,9
366,366,11
367,367,10
368,368,10
369,369,7
370,370,2
371,371,5
372,372,12
373,373,2
374,374,11
375,375,10
376,376,14
377,377,8
378,378,9
379,379,9
380,380,14
381,381,9
382,382,5
383,383,8
384,384,5
385,385,11
386,386,9
387,387,1
388,388,9
389,389,10
390,390,8
391,391,5
392,392,2
393,393,11
394,394,10
395,395,10
396,396,8
397,397,8
398,398,10
399,399,8
400,400,8
401,401,11
402,402,7
403,403,10
404,404,6
405,405,10
406,406,10
407,407,10
408,408,10
409,409,14
410,410,9
411,411,10
412,412,10
413,413,5
414,414,9
415,415,10
416,416,10
417,417,10
418,418,10
419,419,10
420,420,10
421,421,6
422,422,6
423,423,1
424,424,9
425,425,10
426,426,10
427,427,10
428,428,9
429,429,5
430,430,2
431,431,10
432,432,14
433,433,2
434,434,10
435,435,5
436,436,14
437,437,8
438,438,6
439,439,9
440,440,4
441,441,5
442,442,10
443,443,8
444,444,8
445,445,10
446,446,10
447,447,5
448,448,8
449,449,14
450,450,10
451,451,11
452,452,11
453,453,10
454,454,5
455,455,10
456,456,9
457,457,10
458,458,6
459,459,1
460,460,4
461,461,8
462,462,12
463,463,10
464,464,14
465,465,14
466,466,10
467,467,8
468,468,10
469,469,14
470,470,11
471,471,10
472,472,14
473,473,4
474,474,8
475,475,8
476,476,10
477,477,10
478,478,10
479,479,5
480,480,13
481,481,8
482,482,12
483,483,10
484,484,12
485,485,14
486,486,10
487,487,10
488,488,2
489,489,14
490,490,10
491,491,10
492,492,10
493,493,5
494,494,14
495,495,8
496,496,14
497,497,10
498,498,2
499,499,8
500,500,5
501,501,10
502,502,6
503,503,8
504,504,10
505,505,10
506,506,14
507,507,9
508,508,2
509,509,10
510,510,10
511,511,10
512,512,5
513,513,8
514,514,8
515,515,12
516,516,11
517,517,10
518,518,6
519,519,14
520,520,1
521,521,8
522,522,14
523,523,8
524,524,2
525,525,9
526,526,10
527,527,5
528,528,14
529,529,14
530,530,10
531,531,10
532,532,9
533,533,10
534,534,2
535,535,12
536,536,14
537,537,14
538,538,9
539,539,8
540,540,8
541,541,10
542,542,10
543,543,10
544,544,7
545,545,4
546,546,6
547,547,10
548,548,5
549,549,5
550,550,8
551,551,4
552,552,14
553,553,8
554,554,10
555,555,14
556,556,8
557,557,8
558,558,8
559,559,8
560,560,1
561,561,10
562,562,5
563,563,11
564,564,5
565,565,1
566,566,10
567,567,8
568,568,1
569,569,10
570,570,10
571,571,10
572,572,10
573,573,2
574,574,11
575,575,9
576,576,14
577,577,14
578,578,10
579,579,8
580,580,10
581,581,10
582,582,10
583,583,8
584,584,10
585,585,10
586,586,14
587,587,10
588,588,10
589,589,10
590,590,14
591,591,10
592,592,10
593,593,8
594,594,4
595,595,8
596,596,14
597,597,10
598,598,8
599,599,10
600,600,10
601,601,5
602,602,10
603,603,10
604,604,4
605,605,2
606,606,10
607,607,10
608,608,10
609,609,8
610,610,10
611,611,8
612,612,10
613,613,14
614,614,9
615,615,10
616,616,10
617,617,10
618,618,10
619,619,10
620,620,10
621,621,8
622,622,6
623,623,1
624,624,5
625,625,2
626,626,10
627,627,5
628,628,8
629,629,10
630,630,9
631,631,10
632,632,8
633,633,8
634,634,10
635,635,8
636,636,5
637,637,8
638,638,10
639,639,10
640,640,11
641,641,10
642,642,5
643,643,11
644,644,14
645,645,14
646,646,8
647,647,10
648,648,10
649,649,10
650,650,10
651,651,8
652,652,10
653,653,10
654,654,14
655,655,10
656,656,9
657,657,4
658,658,10
659,659,4
660,660,8
661,661,10
662,662,8
663,663,8
664,664,5
665,665,10
666,666,8
667,667,12
668,668,14
669,669,9
670,670,14
671,671,8
672,672,7
673,673,4
674,674,12
675,675,10
676,676,10
677,677,2
678,678,10
679,679,2
680,680,11
681,681,14
682,682,5
683,683,2
684,684,5
685,685,14
686,686,10
687,687,10
688,688,10
689,689,2
690,690,14
691,691,9
692,692,14
693,693,11
694,694,10
695,695,8
696,696,12
697,697,14
698,698,9
699,699,8
700,700,10
701,701,8
702,702,9
703,703,10
704,704,14
705,705,8
706,706,6
707,707,8
708,708,10
709,709,8
710,710,14
711,711,8
712,712,5
713,713,14
714,714,14
715,715,2
716,716,6
717,717,9
718,718,8
719,719,4
720,720,10
721,721,13
722,722,5
723,723,8
724,724,10
725,725,9
726,726,8
727,727,14
728,728,10
729,729,8
730,730,8
731,731,10
732,732,10
733,733,2
734,734,10
735,735,10
736,736,10
737,737,2
738,738,8
739,739,8
740,740,8
741,741,11
742,742,5
743,743,10
744,744,12
745,745,8
746,746,14
747,747,8
748,748,10
749,749,5
750,750,8
751,751,8
752,752,1
753,753,10
754,754,10
755,755,8
756,756,5
757,757,2
758,758,11
759,759,9
760,760,8
761,761,10
762,762,8
763,763,10
764,764,14
765,765,5
766,766,5
767,767,10
768,768,10
769,769,9
770,770,10
771,771,11
772,772,9
773,773,5
774,774,10
775,775,5
776,776,10
777,777,10
778,778,14
779,779,10
780,780,10
781,781,11
782,782,10
783,783,9
784,784,14
785,785,11
786,786,12
787,787,5
788,788,1
789,789,10
790,790,9
791,791,14
792,792,12
793,793,5
794,794,10
795,795,14
796,796,14
797,797,8
798,798,8
799,799,5
800,800,8
801,801,8
802,802,8
803,803,14
804,804,10
805,805,10
806,806,1
807,807,5
808,808,11
809,809,10
810,810,10
811,811,8
812,812,10
813,813,10
814,814,5
815,815,5
816,816,11
817,817,8
818,818,11
819,819,9
820,820,10
821,821,8
822,822,6
823,823,10
824,824,8
825,825,10
826,826,10
827,827,10
828,828,1
829,829,8
830,830,10
831,831,10
832,832,9
833,833,5
834,834,10
835,835,5
836,836,8
837,837,2
838,838,10
839,839,10
840,840,10
841,841,2
842,842,8
843,843,10
844,844,4
845,845,5
846,846,4
847,847,5
848,848,10
849,849,11
850,850,5
851,851,10
852,852,11
853,853,5
854,854,10
855,855,8
856,856,5
857,857,8
858,858,11
859,859,10
860,860,8
861,861,10
862,862,14
863,863,10
864,864,5
865,865,5
866,866,14
867,867,8
868,868,8
869,869,6
870,870,9
871,871,8
872,872,10
873,873,10
874,874,10
875,875,10
876,876,10
877,877,5
878,878,10
879,879,9
880,880,14
881,881,10
882,882,14
883,883,11
884,884,5
885,885,8
886,886,4
887,887,5
888,888,10
889,889,8
890,890,14
891,891,14
892,892,14
893,893,10
894,894,8
895,895,9
896,896,5
897,897,6
898,898,8
899,899,12
900,900,14
901,901,10
902,902,11
903,903,14
904,904,10
905,905,10
906,906,11
907,907,10
908,908,5
909,909,10
910,910,10
911,911,14
912,912,10
913,913,5
914,914,10
915,915,5
916,916,10
917,917,10
918,918,14
919,919,10
920,920,8
921,921,9
922,922,13
923,923,10
924,924,10
925,925,8
926,926,10
927,927,11
928,928,8
929,929,10
930,930,8
931,931,10
932,932,14
933,933,6
934,934,14
935,935,8
936,936,11
937,937,10
938,938,8
939,939,4
940,940,14
941,941,5
942,942,4
943,943,4
944,944,8
945,945,14
946,946,8
947,947,14
948,948,5
949,949,8
950,950,5
951,951,5
952,952,14
953,953,8
954,954,2
955,955,5
956,956,8
957,957,10
958,958,11
959,959,8
960,960,4
961,961,5
962,962,14
963,963,10
964,964,11
965,965,5
966,966,8
967,967,10
968,968,11
969,969,10
970,970,5
971,971,5
972,972,10
973,973,5
974,974,10
975,975,10
976,976,10
977,977,8
978,978,10
979,979,10
980,980,10
981,981,11
982,982,14
983,983,5
984,984,10
985,985,13
986,986,10
987,987,10
988,988,10
989,989,10
990,990,10
991,991,14
992,992,10
993,993,10
994,994,10
995,995,10
996,996,5
997,997,10
998,998,8
999,999,14
1000,1000,8
1001,1001,8
1002,1002,14
1003,1003,14
1004,1004,4
1005,1005,14
1006,1006,14
1007,1007,14
1008,1008,10
1009,1009,14
1010,1010,11
1011,1011,8
1012,1012,14
1013,1013,14
1014,1014,12
1015,1015,2
1016,1016,11
1017,1017,14
1018,1018,12
1019,1019,8
1020,1020,4
1021,1021,14
1022,1022,5
1023,1023,10
1024,1024,8
1025,1025,8
1026,1026,2
1027,1027,10
1028,1028,12
1029,1029,10
1030,1030,10
1031,1031,5
1032,1032,8
1033,1033,8
1034,1034,8
1035,1035,10
1036,1036,5
1037,1037,2
1038,1038,6
1039,1039,11
1040,1040,8
1041,1041,10
1042,1042,10
1043,1043,5
1044,1044,8
1045,1045,2
1046,1046,13
1047,1047,10
1048,1048,10
1049,1049,10
1050,1050,10
1051,1051,10
1052,1052,9
1053,1053,8
1054,1054,5
1055,1055,9
1056,1056,9
1057,1057,5
1058,1058,8
1059,1059,2
1060,1060,1
1061,1061,10
1062,1062,10
1063,1063,5
1064,1064,10
1065,1065,14
1066,1066,8
1067,1067,2
1068,1068,8
1069,1069,9
1070,1070,11
1071,1071,5
1072,1072,8
1073,1073,8
1074,1074,5
1075,1075,10
1076,1076,10
1077,1077,5
1078,1078,10
1079,1079,8
1080,1080,10
1081,1081,8
1082,1082,4
1083,1083,10
1084,1084,2
1085,1085,10
1086,1086,14
1087,1087,8
1088,1088,2
1089,1089,5
1090,1090,8
1091,1091,6
1092,1092,5
1093,1093,5
1094,1094,10
1095,1095,8
1096,1096,1
1097,1097,5
1098,1098,14
1099,1099,8
1100,1100,8
1101,1101,8
1102,1102,8
1103,1103,5
1104,1104,6
1105,1105,8
1106,1106,4
1107,1107,8
1108,1108,8
1109,1109,14
1110,1110,8
1111,1111,4
1112,1112,9
1113,1113,6
1114,1114,8
1115,1115,1
1116,1116,14
1117,1117,8
1118,1118,14
1119,1119,5
1120,1120,13
1121,1121,5
1122,1122,5
1123,1123,10
1124,1124,14
1125,1125,5
1126,1126,5
1127,1127,10
1128,1128,5
1129,1129,8
1130,1130,13
1131,1131,5
1132,1132,8
1133,1133,14
1134,1134,8
1135,1135,14
1136,1136,8
1137,1137,14
1138,1138,5
1139,1139,8
1140,1140,10
1141,1141,5
1142,1142,1
1143,1143,10
1144,1144,8
1145,1145,14
1146,1146,8
1147,1147,8
1148,1148,10
1149,1149,10
1150,1150,5
1151,1151,8
1152,1152,10
1153,1153,10
1154,1154,11
1155,1155,14
1156,1156,4
1157,1157,14
1158,1158,10
1159,1159,13
1160,1160,10
1161,1161,9
1162,1162,14
1163,1163,2
1164,1164,10
1165,1165,4
1166,1166,10
1167,1167,8
1168,1168,14
1169,1169,14
1170,1170,10
1171,1171,10
1172,1172,2
1173,1173,8
1174,1174,10
1175,1175,4
1176,1176,8
1177,1177,8
1178,1178,7
1179,1179,10
1180,1180,8
1181,1181,8
1182,1182,10
1183,1183,5
1184,1184,8
1185,1185,4
1186,1186,10
1187,1187,10
1188,1188,8
1189,1189,10
1190,1190,6
1191,1191,10
1192,1192,9
1193,1193,8
1194,1194,9
1195,1195,8
1196,1196,10
1197,1197,10
1198,1198,10
1199,1199,8
1200,1200,4
1201,1201,5
1202,1202,10
1203,1203,10
1204,1204,12
1205,1205,10
1206,1206,1
1207,1207,10
1208,1208,10
1209,1209,10
1210,1210,10
1211,1211,10
1212,1212,10
1213,1213,10
1214,1214,10
1215,1215,4
1216,1216,14
1217,1217,10
1218,1218,10
1219,1219,10
1220,1220,5
1221,1221,9
1222,1222,10
1223,1223,10
1224,1224,10
1225,1225,10
1226,1226,14
1227,1227,8
1228,1228,8
1229,1229,14
1230,1230,11
1231,1231,10
1232,1232,5
1233,1233,5
1234,1234,8
1235,1235,10
1236,1236,10
1237,1237,10
1238,1238,11
1239,1239,10
1240,1240,8
1241,1241,4
1242,1242,10
1243,1243,5
1244,1244,8
1245,1245,9
1246,1246,14
1247,1247,13
1248,1248,10
1249,1249,9
1250,1250,10
1251,1251,9
1252,1252,1
1253,1253,4
1254,1254,10
1255,1255,12
1256,1256,8
1257,1257,10
1258,1258,9
1259,1259,4
1260,1260,5
1261,1261,8
1262,1262,8
1263,1263,10
1264,1264,8
1265,1265,4
1266,1266,6
1267,1267,9
1268,1268,10
1269,1269,10
1270,1270,14
1271,1271,14
1272,1272,4
1273,1273,10
1274,1274,4
1275,1275,8
1276,1276,8
1277,1277,6
1278,1278,10
1279,1279,10
1280,1280,5
1281,1281,8
1282,1282,10
1283,1283,9
1284,1284,6
1285,1285,12
1286,1286,8
1287,1287,10
1288,1288,8
1289,1289,8
1290,1290,8
1291,1291,8
1292,1292,14
1293,1293,10
1294,1294,8
1295,1295,8
1296,1296,10
1297,1297,14
1298,1298,14
1299,1299,10
1300,1300,5
1301,1301,8
1302,1302,12
1303,1303,5
1304,1304,10
1305,1305,9
1306,1306,8
1307,1307,10
1308,1308,8
1309,1309,5
1310,1310,10
1311,1311,13
1312,1312,9
1313,1313,6
1314,1314,7
1315,1315,4
1316,1316,5
1317,1317,10
1318,1318,10
1319,1319,9
1320,1320,8
1321,1321,10
1322,1322,8
1323,1323,10
1324,1324,11
1325,1325,11
1326,1326,10
1327,1327,13
1328,1328,10
1329,1329,8
1330,1330,5
1331,1331,4
1332,1332,14
1333,1333,8
1334,1334,10
1335,1335,5
1336,1336,6
1337,1337,4
1338,1338,8
1339,1339,5
1340,1340,10
1341,1341,12
1342,1342,6
1343,1343,8
1344,1344,8
1345,1345,10
1346,1346,14
1347,1347,10
1348,1348,10
1349,1349,12
1350,1350,5
1351,1351,5
1352,1352,8
1353,1353,6
1354,1354,10
1355,1355,10
1356,1356,5
1357,1357,9
1358,1358,10
1359,1359,10
1360,1360,10
1361,1361,10
1362,1362,10
1363,1363,10
1364,1364,8
1365,1365,10
1366,1366,5
1367,1367,14
1368,1368,10
1369,1369,8
1370,1370,10
1371,1371,10
1372,1372,8
1373,1373,5
1374,1374,2
1375,1375,8
1376,1376,10
1377,1377,10
1378,1378,10
1379,1379,10
1380,1380,14
1381,1381,10
1382,1382,14
1383,1383,10
1384,1384,10
1385,1385,14
1386,1386,14
1387,1387,8
1388,1388,2
1389,1389,11
1390,1390,10
1391,1391,2
1392,1392,10
1393,1393,10
1394,1394,10
1395,1395,14
1396,1396,8
1397,1397,10
1398,1398,14
1399,1399,2
1400,1400,8
1401,1401,8
1402,1402,10
1403,1403,2
1404,1404,10
1405,1405,2
1406,1406,8
1407,1407,11
1408,1408,4
1409,1409,14
1410,1410,11
1411,1411,10
1412,1412,1
1413,1413,10
1414,1414,10
1415,1415,10
1416,1416,10
1417,1417,9
1418,1418,10
1419,1419,9
1420,1420,2
1421,1421,14
1422,1422,10
1423,1423,8
1424,1424,2
1425,1425,14
1426,1426,5
1427,1427,5
1428,1428,10
1429,1429,8
1430,1430,10
1431,1431,10
1432,1432,1
1433,1433,4
1434,1434,8
1435,1435,10
1436,1436,8
1437,1437,5
1438,1438,5
1439,1439,5
1440,1440,8
1441,1441,5
1442,1442,7
1443,1443,8
1444,1444,9
1445,1445,9
1446,1446,8
1447,1447,14
1448,1448,8
1449,1449,14
1450,1450,6
1451,1451,2
1452,1452,8
1453,1453,9
1454,1454,10
1455,1455,11
1456,1456,14
1457,1457,14
1458,1458,10
1459,1459,8
1460,1460,10
1461,1461,10
1462,1462,10
1463,1463,10
1464,1464,5
1465,1465,10
1466,1466,5
1467,1467,8
1468,1468,10
1469,1469,10
1470,1470,14
1471,1471,14
1472,1472,10
1473,1473,14
1474,1474,10
1475,1475,8
1476,1476,8
1477,1477,8
1478,1478,10
1479,1479,14
1480,1480,8
1481,1481,9
1482,1482,2
1483,1483,10
1484,1484,5
1485,1485,11
1486,1486,4
1487,1487,4
1488,1488,10
1489,1489,9
1490,1490,10
1491,1491,8
1492,1492,8
1493,1493,8
1494,1494,11
1495,1495,10
1496,1496,10
1497,1497,11
1498,1498,10
1499,1499,8
1500,1500,10
1501,1501,8
1502,1502,8
1503,1503,8
1504,1504,1
1505,1505,6
1506,1506,10
1507,1507,5
1508,1508,10
1509,1509,6
1510,1510,10
1511,1511,8
1512,1512,4
1513,1513,9
1514,1514,11
1515,1515,2
1516,1516,13
1517,1517,5
1518,1518,14
1519,1519,6
1520,1520,10
1521,1521,8
1522,1522,9
1523,1523,9
1524,1524,14
1525,1525,8
1526,1526,10
1527,1527,10
1528,1528,14
1529,1529,10
1530,1530,8
1531,1531,4
1532,1532,8
1533,1533,8
1534,1534,10
1535,1535,10
1536,1536,9
1537,1537,5
1538,1538,8
1539,1539,8
1540,1540,14
1541,1541,14
1542,1542,10
1543,1543,8
1544,1544,10
1545,1545,14
1546,1546,14
1547,1547,10
1548,1548,8
1549,1549,14
1550,1550,5
1551,1551,10
1552,1552,8
1553,1553,5
1554,1554,13
1555,1555,13
1556,1556,14
1557,1557,10
1558,1558,10
1559,1559,5
1560,1560,8
1561,1561,8
1562,1562,10
1563,1563,5
1564,1564,10
1565,1565,10
1566,1566,10
1567,1567,2
1568,1568,9
1569,1569,5
1570,1570,14
1571,1571,1
1572,1572,10
1573,1573,10
1574,1574,6
1575,1575,9
1576,1576,10
1577,1577,8
1578,1578,9
1579,1579,5
1580,1580,8
1581,1581,8
1582,1582,10
1583,1583,14
1584,1584,7
1585,1585,10
1586,1586,2
1587,1587,1
1588,1588,10
1589,1589,8
1590,1590,9
1591,1591,10
1592,1592,12
1593,1593,14
1594,1594,14
1595,1595,8
1596,1596,2
1597,1597,10
1598,1598,8
1599,1599,8
1600,1600,8
1601,1601,2
1602,1602,10
1603,1603,2
1604,1604,14
1605,1605,14
1606,1606,8
1607,1607,10
1608,1608,10
1609,1609,5
1610,1610,11
1611,1611,10
1612,1612,10
1613,1613,10
1614,1614,10
1615,1615,14
1616,1616,10
1617,1617,8
1618,1618,10
1619,1619,8
1620,1620,8
1621,1621,5
1622,1622,10
1623,1623,12
1624,1624,10
1625,1625,9
1626,1626,5
1627,1627,5
1628,1628,10
1629,1629,5
1630,1630,10
1631,1631,10
1632,1632,10
1633,1633,7
1634,1634,8
1635,1635,10
1636,1636,5
1637,1637,4
1638,1638,10
1639,1639,5
1640,1640,5
1641,1641,10
1642,1642,10
1643,1643,10
1644,1644,8
1645,1645,10
1646,1646,10
1647,1647,10
1648,1648,10
1649,1649,12
1650,1650,14
1651,1651,8
1652,1652,9
1653,1653,9
1654,1654,9
1655,1655,14
1656,1656,14
1657,1657,10
1658,1658,10
1659,1659,10
1660,1660,10
1661,1661,8
1662,1662,4
1663,1663,10
1664,1664,10
1665,1665,10
1666,1666,5
1667,1667,8
1668,1668,6
1669,1669,10
1670,1670,10
1671,1671,10
1672,1672,5
1673,1673,10
1674,1674,10
1675,1675,14
1676,1676,5
1677,1677,8
1678,1678,10
1679,1679,10
1680,1680,6
1681,1681,8
1682,1682,8
1683,1683,10
1684,1684,5
1685,1685,10
1686,1686,10
1687,1687,10
1688,1688,9
1689,1689,14
1690,1690,10
1691,1691,10
1692,1692,5
1693,1693,14
1694,1694,8
1695,1695,10
1696,1696,8
1697,1697,14
1698,1698,6
1699,1699,10
1700,1700,10
1701,1701,10
1702,1702,8
1703,1703,8
1704,1704,10
1705,1705,10
1706,1706,11
1707,1707,11
1708,1708,10
1709,1709,11
1710,1710,10
1711,1711,14
1712,1712,6
1713,1713,10
1714,1714,10
1715,1715,10
1716,1716,14
1717,1717,8
1718,1718,5
1719,1719,8
1720,1720,8
1721,1721,10
1722,1722,8
1723,1723,8
1724,1724,11
1725,1725,10
1726,1726,9
1727,1727,8
1728,1728,10
1729,1729,10
1730,1730,5
1731,1731,10
1732,1732,10
1733,1733,8
1734,1734,14
1735,1735,10
1736,1736,5
1737,1737,10
1738,1738,12
1739,1739,10
1740,1740,11
1741,1741,10
1742,1742,10
1743,1743,14
1744,1744,10
1745,1745,9
1746,1746,5
1747,1747,10
1748,1748,8
1749,1749,8
1750,1750,9
1751,1751,8
1752,1752,14
1753,1753,10
1754,1754,10
1755,1755,10
1756,1756,5
1757,1757,14
1758,1758,9
1759,1759,10
1760,1760,10
1761,1761,8
1762,1762,4
1763,1763,5
1764,1764,8
1765,1765,11
1766,1766,10
1767,1767,4
1768,1768,8
1769,1769,14
1770,1770,5
1771,1771,8
1772,1772,11
1773,1773,12
1774,1774,10
1775,1775,10
1776,1776,12
1777,1777,14
1778,1778,8
1779,1779,8
1780,1780,1
1781,1781,9
1782,1782,9
1783,1783,10
1784,1784,5
1785,1785,10
1786,1786,11
1787,1787,14
1788,1788,5
1789,1789,10
1790,1790,10
1791,1791,10
1792,1792,10
1793,1793,5
1794,1794,5
1795,1795,5
1796,1796,8
1797,1797,10
1798,1798,8
1799,1799,10
1800,1800,10
1801,1801,4
1802,1802,10
1803,1803,5
1804,1804,10
1805,1805,8
1806,1806,14
1807,1807,8
1808,1808,10
1809,1809,10
1810,1810,10
1811,1811,10
1812,1812,5
1813,1813,10
1814,1814,8
1815,1815,8
1816,1816,10
1817,1817,8
1818,1818,10
1819,1819,4
1820,1820,10
1821,1821,10
1822,1822,11
1823,1823,5
1824,1824,14
1825,1825,2
1826,1826,10
1827,1827,2
1828,1828,8
1829,1829,11
1830,1830,1
1831,1831,8
1832,1832,8
1833,1833,10
1834,1834,10
1835,1835,5
1836,1836,5
1837,1837,8
1838,1838,9
1839,1839,5
1840,1840,10
1841,1841,10
1842,1842,10
1843,1843,14
1844,1844,10
1845,1845,5
1846,1846,14
1847,1847,14
1848,1848,5
1849,1849,10
1850,1850,14
1851,1851,10
1852,1852,10
1853,1853,10
1854,1854,12
1855,1855,8
1856,1856,8
1857,1857,10
1858,1858,5
1859,1859,8
1860,1860,10
1861,1861,5
1862,1862,5
1863,1863,8
1864,1864,1
1865,1865,1
1866,1866,8
1867,1867,8
1868,1868,2
1869,1869,2
1870,1870,8
1871,1871,6
1872,1872,10
1873,1873,10
1874,1874,5
1875,1875,10
1876,1876,11
1877,1877,10
1878,1878,5
1879,1879,8
1880,1880,2
1881,1881,5
1882,1882,10
1883,1883,8
1884,1884,10
1885,1885,5
1886,1886,10
1887,1887,8
1888,1888,9
1889,1889,6
1890,1890,10
1891,1891,8
1892,1892,10
1893,1893,14
1894,1894,2
1895,1895,8
1896,1896,10
1897,1897,14
1898,1898,12
1899,1899,5
1900,1900,10
1901,1901,14
1902,1902,6
1903,1903,10
1904,1904,5
1905,1905,10
1906,1906,14
1907,1907,1
1908,1908,10
1909,1909,10
1910,1910,8
1911,1911,14
1912,1912,10
1913,1913,8
1914,1914,5
1915,1915,13
1916,1916,10
1917,1917,5
1918,1918,13
1919,1919,10
1920,1920,8
1921,1921,10
1922,1922,10
1923,1923,10
1924,1924,2
1925,1925,8
1926,1926,10
1927,1927,8
1928,1928,8
1929,1929,9
1930,1930,14
1931,1931,10
1932,1932,10
1933,1933,8
1934,1934,8
1935,1935,8
1936,1936,12
1937,1937,4
1938,1938,10
1939,1939,14
1940,1940,6
1941,1941,4
1942,1942,8
1943,1943,14
1944,1944,10
1945,1945,8
1946,1946,12
1947,1947,14
1948,1948,8
1949,1949,14
1950,1950,8
1951,1951,14
1952,1952,8
1953,1953,1
1954,1954,14
1955,1955,8
1956,1956,10
1957,1957,8
1958,1958,10
1959,1959,10
1960,1960,13
1961,1961,8
1962,1962,9
1963,1963,11
1964,1964,9
1965,1965,14
1966,1966,9
1967,1967,5
1968,1968,1
1969,1969,5
1970,1970,14
1971,1971,10
1972,1972,10
1973,1973,2
1974,1974,10
1975,1975,14
1976,1976,5
1977,1977,8
1978,1978,10
1979,1979,10
1980,1980,12
1981,1981,6
1982,1982,8
1983,1983,14
1984,1984,8
1985,1985,10
1986,1986,10
1987,1987,10
1988,1988,10
1989,1989,10
1990,1990,8
1991,1991,11
1992,1992,10
1993,1993,5
1994,1994,5
1995,1995,4
1996,1996,10
